sal,temp,depth
33.44,10.5,0
33.44,10.46,8
33.437,10.46,10
33.42,10.45,19
33.421,10.45,20
33.431,10.45,30
33.44,10.45,39
33.424,10.24,50
33.42,10.06,58
33.494,9.86,75
33.51,9.83,78
33.58,9.67,100
33.64,9.5,117
33.689,9.32,125
33.847,8.76,150
33.86,8.71,152
33.876,8.53,200
33.926,8.26,250
33.98,7.96,285
33.99,7.77,300
34.04,6.8,373
34.056,6.55,400
34.113,5.78,500
34.16,5.3,598
34.161,5.29,600
34.21,5.01,700
34.261,4.72,800
34.31,4.44,896
32.95,10.1,0
32.94,9.89,10
32.939,9.75,20
32.95,9.69,24
33.013,9.52,30
33.24,9.06,47
33.272,9.04,50
33.46,8.92,71
33.488,8.83,75
33.6,8.37,94
33.631,8.26,100
33.745,7.85,125
33.8,7.64,140
33.833,7.5,150
33.93,6.98,189
33.939,6.85,200
33.943,6.32,250
33.95,6.05,282
33.957,5.95,300
34,5.6,379
34.016,5.5,400
34.101,5.02,500
34.16,4.74,565
34.188,4.62,600
34.259,4.33,700
34.319,4.08,800
34.34,3.99,840
34.354,3.85,900
34.378,3.62,1000
34.403,3.38,1100
34.429,3.15,1200
34.43,3.14,1203
32.63,10.2,0
32.66,10.05,10
32.66,9.95,20
32.66,9.94,22
32.673,9.92,30
32.68,9.87,38
32.75,9.62,49
32.736,9.66,50
32.66,9.9,55
32.74,9.65,73
32.765,9.62,75
33.12,9.23,99
33.132,9.21,100
33.398,8.79,125
33.605,8.37,150
33.82,7.71,191
33.844,7.58,200
33.926,6.93,250
33.93,6.47,290
33.941,6.37,300
34.041,5.54,400
34.11,5.02,488
34.113,4.97,500
34.135,4.59,600
34.151,4.31,700
34.16,4.14,789
34.169,4.11,800
34.252,3.89,900
34.336,3.66,1000
34.421,3.43,1100
34.45,3.35,1134
32.68,10.4,0
32.7,10.22,8
32.694,10.2,10
32.66,10.14,19
32.657,10.14,20
32.641,10.07,30
32.699,9.72,50
32.79,9.42,62
32.967,9.32,75
33.1,9.27,84
33.286,9.02,100
33.533,8.6,125
33.55,8.56,127
33.746,8.32,150
33.84,8.18,164
33.863,7.71,200
33.89,7.16,242
33.893,7.08,250
33.91,6.61,300
33.75,6.38,329
33.955,5.79,400
34,5.14,492
34.01,5.1,500
34.128,4.65,600
34.245,4.31,700
34.29,4.21,739
34.309,4.07,800
34.34,3.83,900
34.372,3.59,1000
34.4,3.39,1085
32.75,10.5,0
32.75,10.52,8
32.748,10.51,10
32.74,10.48,19
32.74,10.47,20
32.737,10.34,30
32.738,9.85,50
32.74,9.7,55
32.74,9.29,71
32.791,9.2,75
33.42,9.35,100
33.565,8.28,125
33.62,8.24,128
33.724,7.95,150
33.78,7.5,191
33.807,7.42,200
33.938,6.98,250
33.95,6.94,255
33.988,6.54,300
34,5.86,380
34.012,5.77,400
34.075,5.3,500
34.141,4.83,600
34.211,4.36,700
34.25,4.1,755
32.88,11.6,0
32.86,11.69,9
32.86,11.69,10
32.86,11.66,20
32.86,11.64,23
32.863,11.64,30
32.88,11.64,47
32.882,11.61,50
32.9,11.36,71
32.927,11.18,75
33.1,10.2,94
33.165,9.9,100
33.425,8.83,125
33.58,8.29,141
33.638,8.11,150
33.8,7.65,187
33.833,7.5,200
33.916,6.98,250
33.93,6.72,279
33.944,6.54,300
33.98,5.96,377
33.996,5.78,400
34.073,5.09,500
34.13,4.68,568
34.154,4.54,600
34.225,4.17,700
34.286,3.88,800
34.31,3.78,846
34.321,3.67,900
34.342,3.48,1000
34.363,3.28,1100
34.385,3.08,1200
34.408,2.88,1300
34.42,2.78,1352
33.17,12.5,0
33.24,12.66,8
33.212,12.66,10
33.057,12.64,20
33.04,12.64,21
33.068,12.64,30
33.17,12.64,43
33.159,12.64,50
33.13,12.63,65
33.158,12.64,75
33.22,12.66,87
33.283,12.52,100
33.383,11.94,125
33.4,11.77,130
33.42,10.84,150
33.44,9.73,172
33.518,8.9,200
33.672,7.75,250
33.86,8.16,254
33.828,7.03,300
33.95,6.76,341
33.932,6.07,400
33.942,5.21,500
33.8,5.12,514
33.996,4.71,600
34.086,4.38,700
34.14,4.28,747
34.166,4.14,800
34.217,3.89,900
34.268,3.63,1000
34.32,3.37,1100
34.374,3.11,1200
34.38,3.08,1212
33.13,12.2,0
32.92,12.22,7
32.9,12.22,10
32.84,12.23,19
32.842,12.23,20
32.858,12.23,30
32.891,12.21,50
32.9,12.2,55
33.04,12.24,74
33.042,12.25,75
33.096,12.49,100
33.12,12.6,111
33.164,11.74,125
33.293,9.91,150
33.3,9.83,151
33.66,8.3,200
33.77,8.06,217
33.874,7.61,250
33.93,7.21,291
33.934,7.1,300
33.934,5.93,400
33.91,5.49,443
33.936,5.13,500
33.993,4.67,600
34.05,4.44,681
34.061,4.39,700
34.12,4.11,800
34.179,3.84,900
34.24,3.56,1000
34.25,3.52,1016
32.97,12,0
32.94,8.86,9
32.94,12,10
32.94,11.99,20
32.94,11.99,22
32.963,11.99,30
33.01,12,44
33,11.95,50
32.95,11.7,67
32.983,11.57,75
33.08,11.2,90
33.15,10.67,100
33.356,9.36,125
33.44,8.88,134
33.585,8.56,150
33.78,8.31,174
33.806,7.98,200
33.952,7.38,250
33.946,6.86,300
33.98,6.68,319
33.98,5.94,400
33.98,5.34,479
33.996,5.22,500
34.082,4.73,600
34.18,4.37,700
34.2,4.32,719
34.229,4.11,800
34.266,3.84,900
34.304,3.58,1000
34.343,3.32,1100
34.36,3.2,1144
32.88,11.7,0
32.84,11.62,8
32.84,11.61,10
32.84,11.58,19
32.838,11.58,20
32.821,11.58,30
32.81,11.58,39
32.847,11.56,50
32.88,11.54,59
32.827,11.31,75
32.81,11.23,79
32.936,10.82,100
33.12,10.36,120
33.147,10.21,125
33.284,9.49,150
33.35,9.16,162
33.665,8.71,200
33.95,8.49,240
33.951,8.39,250
33.957,7.91,300
33.96,7.66,326
34.03,6.99,400
34.13,6.24,491
34.134,6.17,500
34.166,5.48,600
34.18,4.89,700
34.18,4.72,734
34.198,4.53,800
34.226,4.23,900
34.255,3.94,1000
34.285,3.65,1100
34.31,3.42,1178
32.77,11.5,0
32.84,11.5,8
32.843,11.5,10
32.858,11.5,20
32.86,11.5,21
32.81,11.52,30
32.75,11.53,41
32.769,11.49,50
32.83,11.42,62
32.908,11.4,75
32.95,11.37,82
32.983,11.13,100
33.04,10.63,123
33.058,10.56,125
33.302,9.73,150
33.49,9.17,167
33.706,8.66,200
33.89,8.28,247
33.898,8.25,250
33.994,7.78,300
34.02,7.55,327
34.089,6.93,400
34.13,6.3,481
34.131,6.16,500
34.13,5.48,600
34.131,4.9,700
34.13,4.8,720
34.187,4.55,800
34.258,4.24,900
34.332,3.93,1000
34.406,3.63,1100
34.42,3.57,1118
32.95,11.4,0
32.9,11.38,9
32.896,11.38,10
32.864,11.39,20
32.86,11.39,22
32.86,11.39,30
32.86,11.4,45
32.846,11.35,50
32.81,11.23,67
32.866,11.35,75
33.01,11.49,90
33.087,11.07,100
33.286,9.79,125
33.37,9.19,135
33.495,8.87,150
33.69,8.56,176
33.788,8.24,200
33.936,7.61,250
33.57,7.53,257
34.005,6.93,300
34,6.34,345
34.05,5.87,400
34.105,5.28,500
34.11,5.2,519
34.144,4.8,600
34.179,4.39,700
34.2,4.13,776
34.207,4.07,800
34.238,3.85,900
34.269,3.62,1000
34.301,3.39,1100
34.33,3.18,1190
32.84,11.5,0
32.78,11.48,9
32.781,11.48,10
32.798,11.47,20
32.81,11.47,24
32.782,11.47,30
32.7,11.48,47
32.709,11.48,50
32.77,11.45,71
32.793,11.4,75
32.92,10.97,94
32.95,10.71,100
33.104,9.6,125
33.22,8.9,140
33.342,8.62,150
33.69,7.98,180
33.686,7.69,200
33.706,7.11,250
33.73,6.9,274
33.73,6.55,300
33.73,5.68,371
33.786,5.51,400
34.006,5.11,500
34.13,5.04,550
34.187,4.85,600
34.269,4.49,700
34.308,4.14,800
34.31,4.08,818
34.315,3.89,900
34.321,3.65,1000
34.328,3.42,1100
34.337,3.18,1200
34.34,3.09,1238
32.79,11.3,0
32.81,11.25,10
32.803,11.18,20
32.79,11.1,25
32.843,10.88,30
33.08,9.88,50
33.08,9.4,74
33.093,9.39,75
33.48,9.1,99
33.492,9.08,100
33.724,8.67,125
33.84,8.26,149
33.842,8.25,150
33.859,7.57,200
33.86,7.53,203
33.92,6.95,250
33.98,6.42,300
33.952,5.71,400
33.95,5.68,405
34.069,5.22,500
34.225,4.85,600
34.23,4.84,603
34.28,4.52,700
34.307,4.23,800
34.31,4.01,886
34.313,3.98,900
34.332,3.76,1000
34.352,3.54,1100
34.372,3.32,1200
34.394,3.1,1300
34.4,3.04,1327
33.01,10.9,0
32.92,10.77,10
33.033,10.61,20
33.1,10.53,24
33.141,10.35,30
33.243,9.75,50
33.3,9.38,73
33.309,9.33,75
33.42,8.82,97
33.444,8.77,100
33.636,8.43,125
33.78,8.2,145
33.799,8.12,150
33.89,7.47,192
33.897,7.37,200
33.925,6.87,250
33.93,6.62,287
33.944,6.56,300
34.05,6.23,386
34.066,6.15,400
34.163,5.57,500
34.22,5.11,578
34.224,5.01,600
34.235,4.61,700
34.229,4.27,800
34.22,4.14,846
34.23,4.01,900
34.25,3.76,1000
34.271,3.51,1100
34.292,3.27,1200
34.31,3.07,1279
33.28,11,0
33.3,10.89,10
33.319,10.83,20
33.345,10.8,30
33.416,10.61,50
33.42,10.6,51
33.567,9.89,75
33.58,9.82,77
33.671,9.27,100
33.68,9.21,103
33.732,8.88,125
33.789,8.61,150
33.8,8.57,155
33.985,8.19,200
34,8.16,204
34,7.66,250
34,7.17,300
34,7.13,304
34.1,6.72,400
34.11,6.7,408
34.169,6.11,500
34.217,5.43,600
34.22,5.38,607
34.269,4.9,700
34.31,4.5,792
34.311,4.48,800
34.319,4.21,900
34.329,3.95,1000
